soi_source_var,form,core_harmonized_name,nodc_efile_var,legacy_core_names,nodc_vscope,nodc_label,core_description,core_years,nodc_years,legacy_years
rptinvstothsecd,PC,rpt_investments_other_securities_cd,F9_04_REP_INVEST_OTH_SEC_X,,F990,Reported investments - other securities [x],Investments in other securities reported?,2013-2024,2013-2024,
rptinvstprgrelcd,PC,rpt_program_related_investments_cd,F9_04_REP_PROG_RLTD_X,,F990,Reported investments - program related [x],Program related investments reported?,2013-2024,2013-2024,
rptlndbldgeqptcd,PC,rpt_land_bldg_equip_cd,F9_04_REP_LAND_BLDG_EQUIP_X,NetLandCode,F990,"Reported land, buildings, and equipment [x]",Land buildings and equipment reported?,2013-2024,2013-2024,1998-2010
rptothasstcd,PC,rpt_other_assets_cd,F9_04_REP_OTH_ASSET_X,OthAsstCode,F990,Reported other assets [x],Other assets reported?,2013-2024,2013-2024,1998-2010
rptothliabcd,PC,rpt_other_liabilities_cd,F9_04_REP_OTH_LIAB_X,,F990,Reported other liabilities [x],Other liabilities reported?,2013-2024,2013-2024,
rptprofndrsngfeescd,PC,rpt_prof_fundraising_fees_cd,F9_04_PROF_FUNDR_X,,F990,"Reported more than $15,000 for professional fundraising services [x]",Professional fundraising?,2013-2024,2013-2024,
rptyestocompnstncd,PC,sched_j_required_cd,F9_04_COMP_DTK_YES_X,,F990,Required to complete Schedule J [x],Schedule J required?,2013-2024,2013-2024,
s4966distribcd,PC,s4966_distributions_cd,F9_05_DAF_TAXABLE_DIST_X,,F990,Made taxable distributions [x],Taxable distributions?,2013-2024,2013-2024,
s501c3or4947a1cd,PC,s501c3_or_4947a1_cd,F9_04_DESC_IN_501C3_X,,F990,Described in 501(c)(3) [x],Described in 501(c)(3)?,2013-2024,2013-2024,
s50yc3or4947aycd,PC,s501c3_or_4947a1_cd,F9_04_DESC_IN_501C3_X,,F990,Described in 501(c)(3) [x],Described in 501(c)(3)? (2015 typo: Y for 1),2015,2015-2015,
samepubsuppsubtot170,PC,public_support_subtotal_line4_ref_sec170,SA_02_TOT_AMT_L4_CY_TOT,,BOTH,Total public support during the current tax year and the four years prior,Public support from line 4 (170),2013-2024,2013-2024,
samepubsuppsubtot509,PC,public_support_subtotal_line6_ref_sec509,SA_03_TOT_AMT_L6_TOT,,BOTH,Total public support during the current tax year and the four years prior,Public support from line 6 (509),2013-2024,2013-2024,
schdbind,PC,sched_b_required_cd,F9_04_SCHED_B_REQ_X,,F990,Required to complete Schedule B [x],Schedule B required?,2013-2024,2013-2024,
secrdmrtgsend,PC,secured_mortgages_eoy,F9_10_LIAB_MTG_NOTE_EOY,MRTG_EOY;P4E_MORT,F990,Secured mortgages and notes payable - end of year,Secured mortgages and notes payable -- eoy,2012-2024,2012-2024,1989-2011;1997-1999
sellorexchcd,PC,partial_liquidation_cd,F9_04_DOA_X,,F990,Disposed of more than 25% of net assets [x],Partial liquidation?,2013-2024,2013-2024,
sepcnsldtfinstmtcd,PC,fin48_footnote_cd,F9_04_REP_FOOTNOTE_FIN48_X,,F990,Included footnote for liability under FIN 48 [x],Separate consolidated financial statement,2013-2024,2013-2024,
sepindaudfinstmtcd,PC,obtained_separate_audited_cd,F9_04_AFS_IND_X,,F990,Obtained audited financial statements [x],Separate audited financial statement,2013-2024,2013-2024,
servasofficercd,PC,business_txn_with_35pct_entity_cd,F9_04_BIZ_TRANSAC_DTK_ENTITY_X,,F990,"Was party to a business transaction with a controlled entity of a current or former officer, director, trustee, key employee, creator or founder, or substantial contributor [x]","Officer, etc. of entity with business relationship?",2013-2024,2013-2024,
solicitcntrbcd,PC,solicit_nondeductible_contributions_cd,F9_05_NONDEDUCT_CONTR_X,,F990,Solicited non-deductible contributions [x],Non-deductible contributions?,2013-2024,2013-2024,
srvcsval170,PC,gov_services_value_sec170,SA_02_PUB_VALUE_SVC_GOVT_TOT,A4A_GVTT;GVTSRV4;srvcsval170,BOTH,Value of services and facilities furnished by government during the current tax year and the four years prior,Services or facilities furnished by gov (170),2012-2024,2012-2024,1997-1999;1997-2010;2011
srvcsval509,PC,gov_services_value_sec509,SA_03_PUB_VALUE_SVC_GOVT_TOT,srvcsval509,BOTH,Value of services or facilities furnished by government during the current tax year and the four years prior,Services or facilities furnished by gov (509),2012-2024,2012-2024,2011
subjto6033cd,PC,subject_to_proxy_tax_cd,F9_04_PROXY_TAX_X,,F990,Subject to proxy tax [x],Subject to proxy tax?,2013-2024,2013-2024,
subseccd,PC,subsection_cd,F9_00_EXEMPT_STAT,SUBSECCD,BOTH,501C subsection code,Subsection code,2012-2024,2012-2024,1989-2011
subtotpub509,PC,public_support_subtotal_line7c_sec509,SA_03_PUB_ADD_L7AB_TOT,,BOTH,Public support from disqualified persons or in excess during the current tax year and the four years prior,Public support subtotal (509),2013-2024,2013-2024,
subtotsuppinc509,PC,total_support_subtotal_sec509,SA_03_TOT_ADD_L10AB_TOT,subtotsuppinc509,BOTH,Gross investment income and unrelated business taxable income during the current tax year and the four years prior,Subtotal total support (509),2012-2024,2012-2024,2011
svngstempinvend,PC,savings_and_temp_investments_eoy,F9_10_ASSET_SAVING_EOY,,F990,Savings and temporary cash investments - end of year,Savings and temporary cash investments -- eoy,2013-2024,2013-2024,
tax_pd,PC,tax_period,F9_00_TAX_PERIOD_END_DATE,TAXPER,BOTH,Tax period end date,Tax period,"2013,2016-2024",2013-2024,1989-2011
tax_prd,PC,tax_period,F9_00_TAX_PERIOD_END_DATE,TAXPER,BOTH,Tax period end date,Tax period,"2012,2014-2015",2012-2015,1989-2011
temprstrctnetasstsend,PC,temporarily_restricted_net_assets_eoy,F9_10_NAFB_RESTRICT_TEMP_EOY,TempRnaEstimate,F990,Net assets with donor restrictions - end of year,Temporarily restricted net assets -- eoy,2013-2024,2013-2024,1998-2010
totassetsend,PC,total_assets_eoy,F9_10_ASSET_TOT_EOY,ASS_EOY;P4E_ASST,BOTH,Total assets - end of year,Total assets -- eoy,2012-2024,2012-2024,1989-1999;1989-2011
totcntrbgfts,PC,total_contributions,F9_08_REV_CONTR_TOT,A4A_CNT;CONT;P1TCONT,F990,"Total contributions, gifts, grants, and other similar amounts",Total contributions,2012-2024,2012-2024,1989-1999;1989-2011;1997-1999
totcomprelatede,PC,total_reportable_comp_from_related,F9_07_COMP_DTK_COMP_RLTD_TOT,,F990,Reportable compensation from related organizations - total,Reportable compensation from related orgs,2013-2024,2013-2024,
totestcompf,PC,total_estimated_other_compensation,F9_07_COMP_DTK_COMP_OTH_TOT,,F990,Other compensation from the organization and related organizations - total,Other compensation,2013-2024,2013-2024,
totfuncexpns,PC,total_expenses,F9_09_EXP_TOT_TOT,EXPS;P1TOTEXP,F990,Total functional expenses - total expenses,Total functional expenses (Form 990 Part IX Line 25; equivalent to Form 990-EZ Part I Line 17 total expenses),2012-2024,2012-2024,1989-1999;1989-2011
totgftgrntrcvd509,PC,total_gifts_grants_received_sec509,SA_03_PUB_GIFT_GRANT_CONTR_TOT,totgftgrntrcvd509,BOTH,"Gifts, grants, contributions, and membership fees received during the current tax year and the four years prior",Gifts grants membership fees received (509),2012-2024,2012-2024,2011
totliabend,PC,total_liabilities_eoy,F9_10_LIAB_TOT_EOY,LIAB_EOY;P4E_LIAB,BOTH,Total liabilities - end of year,Total liabilities -- eoy,2012-2024,2012-2024,1989-1999;1989-2011
totnetassetend,PC,total_net_assets_eoy,F9_10_NAFB_TOT_EOY,FUNDBAL;P1NASEOY;p4b_net,BOTH,Net assets or fund balances - end of year,Total Net Assets -- eoy,2012-2024,2012-2024,1989-1999;1989-2011;1997-1999
totnetliabastend,PC,total_liab_and_net_assets_eoy,F9_10_NAFB_TOT_LIAB_NAFB_EOY,,F990,Total liabilities and net assets/fund balances - end of year,Total Liabilities + Net Assets -- eoy,2013-2024,2013-2024,
totnooforgscnt,PC,n_orgs_supported,SA_01_PCSTAT_SUPPORT_ORG_NUM,,BOTH,Number of supported organizations,Number of organizations supported,2013-2024,2013-2024,
totprgmrevnue,PC,program_service_revenue,F9_08_REV_PROG_TOT_TOT,P1PSREV;PROGREV,BOTH,Total program service revenue,Program service revenue,2012-2024,2012-2024,1989-2011;1991-1999
totreprtabled,PC,total_reportable_comp_from_org,F9_07_COMP_DTK_COMP_ORG_TOT,,F990,Reportable compensation from the organization - total,Reportable compensation from organization,2013-2024,2013-2024,
totrev2acola,PC,program_revenue_amount_2a,F9_08_REV_PROG_TOT_LINE_A,,F990,Program service revenue - total,Program service revenue amount 2a,2013-2024,2013-2024,
totrev2bcola,PC,program_revenue_amount_2b,F9_08_REV_PROG_TOT_LINE_B,,F990,Program service revenue - total,Program service revenue amount 2b,2013-2024,2013-2024,
totrev2ccola,PC,program_revenue_amount_2c,F9_08_REV_PROG_TOT_LINE_C,,F990,Program service revenue - total,Program service revenue amount 2c,2013-2024,2013-2024,
totrev2dcola,PC,program_revenue_amount_2d,F9_08_REV_PROG_TOT_LINE_D,,F990,Program service revenue - total,Program service revenue amount 2d,2013-2024,2013-2024,
totrev2ecola,PC,program_revenue_amount_2e,F9_08_REV_PROG_TOT_LINE_E,,F990,Program service revenue - total,Program service revenue amount 2e,2013-2024,2013-2024,
totrev2fcola,PC,program_revenue_amount_2f,F9_08_REV_PROG_OTH_TOT,,F990,Other program service revenue - total,Program service revenue amount 2f,2013-2024,2013-2024,
totrevenue,PC,total_revenue,F9_08_REV_TOT_TOT,P1TOTREV;TOTREV;TOTREV2,F990,Total revenue - total,Total revenue,2012-2024,2012-2024,1989-2011;1993-1999;1997-2011
totsupp170,PC,total_support_sec170,SA_02_TOT_SUPPORT_TOT,A4A_TOTT;OTHINC4,BOTH,Total support during the current tax year and the four years prior,Total support (170),2013-2024,2013-2024,1997-1999;1997-2010
totsupp509,PC,total_support_sec509,SA_03_TOT_SUPPORT_TOT,totsupp509,BOTH,"Gifts, grants, contributions, and membership fees received during the current tax year and the four years prior",Total support (509),2012-2024,2012-2024,2011
totsupport,PC,total_support_amount,SA_01_PCSTAT_ORG_AMT_SUPPORT,,BOTH,Amount of monetary support,Sum of amounts of support,2013-2024,2013-2024,
travel,PC,travel,F9_09_EXP_TRAVEL_TOT,,F990,Travel - total expenses,Travel,2013-2024,2013-2024,
travelofpublicoffcl,PC,travel_public_officials,F9_09_EXP_TRAVEL_ENTMT_TOT,,F990,Payments of travel or entertainment for public officials - total expenses,Travel/entertainment expenses to public officials,2013-2024,2013-2024,
txexmptbndcd,PC,tax_exempt_bond_cd,F9_04_TAX_EXEMPT_BOND_X,,F990,"Had a tax-exempt bond with an outstanding principal of more than $100,000 [x]",Tax exempt bonds?,2013-2024,2013-2024,
txexmptbndsend,PC,tax_exempt_bonds_eoy,F9_10_LIAB_TAX_EXEMPT_BOND_EOY,BOND_EOY;P4E_BOND,F990,Tax-exempt bond liabilities - end of year,Tax-exempt bond liabilities -- eoy,2012-2024,2012-2024,1989-2011;1997-1999
txexmptbndsproceeds,PC,tax_exempt_bonds_proceeds,F9_08_REV_OTH_INVEST_BOND_TOT,txexmptbndsproceeds,F990,Income from investment of bonds - total,Tax-exempt bond proceeds,2012-2024,2012-2024,2011
txexmptint,PC,tax_exempt_interest,F9_05_4947_TAX_EXEMPT_INT_AMT,,F990,Tax-exempt interest,Tax exempt interest in lieu of 1041,2013-2024,2013-2024,
txrevnuelevied170,PC,tax_revenues_levied_sec170,SA_02_PUB_TAXREV_LEVIED_TOT,A4A_TAXT;TAXREV4;txrevnuelevied170,BOTH,Tax revenues levied for organization benefit during the current tax year and the four years prior,Tax revenues levied (170),2012-2024,2012-2024,1997-1999;1997-2010;2011
txrevnuelevied509,PC,tax_revenues_levied_sec509,SA_03_PUB_TAXREV_LEVIED_TOT,txrevnuelevied509,BOTH,Tax revenues levied for organization benefit during the current tax year and the four years prior,Tax revenues levied (509),2012-2024,2012-2024,2011
unrelbusinccd,PC,unrelated_business_income_1k_cd,F9_05_UBIZ_IMCOME_OVER_LIMIT_X,P6UNRELB,BOTH,"Had unrelated business gross income of $1,000 or more [x]",Unrelated business income?,2012-2024,2012-2024,1989-1999
unreltxincls511tx509,PC,net_ubi_line10b_sec509,SA_03_TOT_INCOME_UBIZ_TOT,,BOTH,Gross unrelated business taxable income during the current tax year and the four years prior,Net UBI (509),2013-2024,2013-2024,
unrstrctnetasstsend,PC,unrestricted_net_assets_eoy,F9_10_NAFB_UNRESTRICT_EOY,UnaseoyEstimate,F990,Net assets without donor restrictions - end of year,Unrestricted net assets -- eoy,2013-2024,2013-2024,1998-2010
unsecurednotesend,PC,unsecured_notes_eoy,F9_10_LIAB_NOTE_UNSEC_EOY,unsecurednotesend,F990,Unsecured mortgages and notes payable - end of year,Unsecured mortgages and notes payable -- eoy,2012-2024,2012-2024,2011
wthldngrulescd,PC,backup_withholding_compliance_cd,F9_05_COMPLY_BACKUP_WITHHOLD_X,,F990,Complied with backup withholding rules [x],Compliance with backup withholding?,2013-2024,2013-2024,
